Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.25,456,1000.0,l2,liblinear,balanced,0.5952380952380952,0.5238095238095238,0.6111111111111112,0.5833333333333334
0.25,89,0.1,l1,liblinear,,0.6666666666666666,0.8076923076923077,0.7,0.5833333333333334
0.25,89,0.1,l1,liblinear,balanced,0.6666666666666666,0.8076923076923077,0.7,0.5833333333333334
0.25,89,0.1,l2,liblinear,,0.7142857142857143,0.8461538461538461,0.7333333333333333,0.6666666666666666
0.25,89,0.1,l2,liblinear,balanced,0.7380952380952381,0.88,0.7333333333333333,0.75
0.25,89,1.0,l1,liblinear,,0.6666666666666666,0.7857142857142857,0.7333333333333333,0.5
0.25,89,1.0,l1,liblinear,balanced,0.6666666666666666,0.7857142857142857,0.7333333333333333,0.5
0.25,89,1.0,l2,liblinear,,0.6666666666666666,0.7857142857142857,0.7333333333333333,0.5
0.25,89,1.0,l2,liblinear,balanced,0.6904761904761905,0.8148148148148148,0.7333333333333333,0.5833333333333334
0.25,89,10.0,l1,liblinear,,0.6904761904761905,0.8148148148148148,0.7333333333333333,0.5833333333333334
0.25,89,10.0,l1,liblinear,balanced,0.6904761904761905,0.8148148148148148,0.7333333333333333,0.5833333333333334
0.25,89,10.0,l2,liblinear,,0.7142857142857143,0.8214285714285714,0.7666666666666667,0.5833333333333334
0.25,89,10.0,l2,liblinear,balanced,0.6904761904761905,0.8148148148148148,0.7333333333333333,0.5833333333333334
0.25,89,100.0,l1,liblinear,,0.6428571428571429,0.7777777777777778,0.7,0.5
0.25,89,100.0,l1,liblinear,balanced,0.6428571428571429,0.7777777777777778,0.7,0.5
0.25,89,100.0,l2,liblinear,,0.6428571428571429,0.7777777777777778,0.7,0.5
0.25,89,100.0,l2,liblinear,balanced,0.6428571428571429,0.7777777777777778,0.7,0.5
0.25,89,1000.0,l1,liblinear,,0.6428571428571429,0.7777777777777778,0.7,0.5
0.25,89,1000.0,l1,liblinear,balanced,0.6428571428571429,0.7777777777777778,0.7,0.5
0.25,89,1000.0,l2,liblinear,,0.6428571428571429,0.7777777777777778,0.7,0.5
0.25,89,1000.0,l2,liblinear,balanced,0.6428571428571429,0.7777777777777778,0.7,0.5
0.3,42,0.1,l1,liblinear,,0.54,0.5862068965517241,0.6071428571428571,0.45454545454545453
0.3,42,0.1,l1,liblinear,balanced,0.62,0.7142857142857143,0.5357142857142857,0.7272727272727273
0.3,42,0.1,l2,liblinear,,0.64,0.6666666666666666,0.7142857142857143,0.5454545454545454
0.3,42,0.1,l2,liblinear,balanced,0.64,0.6923076923076923,0.6428571428571429,0.6363636363636364
0.3,42,1.0,l1,liblinear,,0.64,0.65625,0.75,0.5
0.3,42,1.0,l1,liblinear,balanced,0.74,0.7777777777777778,0.75,0.7272727272727273
0.3,42,1.0,l2,liblinear,,0.7,0.7241379310344828,0.75,0.6363636363636364
0.3,42,1.0,l2,liblinear,balanced,0.7,0.7407407407407407,0.7142857142857143,0.6818181818181818
0.3,42,10.0,l1,liblinear,,0.7,0.7096774193548387,0.7857142857142857,0.5909090909090909
0.3,42,10.0,l1,liblinear,balanced,0.68,0.7,0.75,0.5909090909090909
0.3,42,10.0,l2,liblinear,,0.68,0.7,0.75,0.5909090909090909
0.3,42,10.0,l2,liblinear,balanced,0.66,0.6896551724137931,0.7142857142857143,0.5909090909090909
0.3,42,100.0,l1,liblinear,,0.6,0.625,0.7142857142857143,0.45454545454545453
0.3,42,100.0,l1,liblinear,balanced,0.6,0.625,0.7142857142857143,0.45454545454545453
0.3,42,100.0,l2,liblinear,,0.64,0.6666666666666666,0.7142857142857143,0.5454545454545454
0.3,42,100.0,l2,liblinear,balanced,0.64,0.6666666666666666,0.7142857142857143,0.5454545454545454
0.3,42,1000.0,l1,liblinear,,0.58,0.6129032258064516,0.6785714285714286,0.45454545454545453
0.3,42,1000.0,l1,liblinear,balanced,0.58,0.6129032258064516,0.6785714285714286,0.45454545454545453
0.3,42,1000.0,l2,liblinear,,0.6,0.6333333333333333,0.6785714285714286,0.5
0.3,42,1000.0,l2,liblinear,balanced,0.6,0.6333333333333333,0.6785714285714286,0.5
